period,m1
1959,1085.31
1960,1068.78
1961,1078.12
1962,1090.95
1963,1110.48
1964,1138.49
1965,1168.43
1966,1186.62
1967,1199.97
1968,1231.02
1969,1236.74
1970,1213.16
1971,1241.25
1972,1287.61
1973,1300.57
1974,1230.0
1975,1177.39
1976,1176.13
1977,1188.67
1978,1195.22
1979,1156.61
1980,1081.55
1981,1052.65
1982,1056.94
1983,1137.42
1984,1167.39
1985,1228.49
1986,1368.36
1987,1473.14
1988,1474.83
1989,1420.31
1990,1396.61
1991,1419.72
1992,1549.34
1993,1680.16
1994,1738.9
1995,1688.11
1996,1588.19
1997,1500.56
1998,1492.05
1999,1489.24
2000,1442.4
2001,1449.11
2002,1497.11
2003,1558.24
2004,1601.44
2005,1580.62
2006,1534.17
2007,1489.34
2008,1498.82
2009,1716.55
2010,1796.73
2011,2009.43
