period,prime_rate
1929,5.5
1930,3.5
1931,2.75
1932,3.25
1933,1.5
1934,1.5
1935,1.5
1936,1.5
1937,1.5
1938,1.5
1939,1.5
1940,1.5
1941,1.5
1942,1.5
1943,1.5
1944,1.5
1945,1.5
1946,1.5
1947,1.75
1948,1.85
1949,2.0
1950,2.07
1951,2.56
1952,3.0
1953,3.17
1954,3.05
1955,3.16
1956,3.77
1957,4.2
1958,3.83
1959,4.48
1960,4.82
1961,4.5
1962,4.5
1963,4.5
1964,4.5
1965,4.54
1966,5.63
1967,5.63
1968,6.31
1969,7.96
1970,7.91
1971,5.73
1972,5.21
1973,8.01
1974,10.77
1975,7.85
1976,6.82
1977,6.83
1978,9.04
1979,12.61
1980,15.27
1981,18.86
1982,14.85
1983,10.78
1984,12.03
1985,9.93
1986,8.33
1987,8.21
1988,9.32
1989,10.87
1990,10.01
1991,8.46
1992,6.25
1993,6.0
1994,7.14
1995,8.83
1996,8.27
1997,8.44
1998,8.35
1999,8.0
2000,9.23
2001,6.91
2002,4.67
2003,4.12
2004,4.34
2005,6.19
2006,7.96
2007,8.05
2008,5.09
2009,3.25
2010,3.25
2011,3.25
2012,3.25
